orig_word,sorted_word
a,a
aardvark,aaadkrrv
abaci,aabci
aback,aabck
abacus,aabcsu
abaft,aabft
abalone,aabelno
abandon,aabdnno
abandoned,aabddenno
abandonment,aabdemnnnot
abase,aabes
abasement,aabeemnst
abash,aabhs
abate,aabet
abatement,aabeemntt
abatis,aabist
abattoir,aabiortt
abbacy,aabbcy
abbe,abbe
abbess,abbess
abbey,abbey
abbot,abbot
abbreviate,aabbeeirtv
abbreviation,aabbeiinortv
abdicate,aabcdeit
abdication,aabcdiinot
abdomen,abdemno
abdominal,aabdilmno
abduct,abcdtu
abduction,abcdinotu
abductor,abcdortu
abeam,aabem
abecedarian,aaabcdeeinr
abed,abde
aberrant,aabenrrt
aberration,aabeinorrt
abet,abet
abettor,abeortt
abeyance,aabceeny
abhor,abhor
abhorrence,abceehnorr
abhorrent,abehnorrt
abide,abdei
abiding,abdgiin
abject,abcejt
abjection,abceijnot
abjuration,aabijnortu
abjure,abejru
ablate,aabelt
ablation,aabilnot
ablative,aabeiltv
ablaut,aabltu
ablaze,aabelz
abloom,ablmoo
ablution,abilnotu
ably,ably
abnegate,aabeegnt
abnegation,aabeginnot
abnormal,aablmnor
abnormality,aabilmnorty
abo,abo
aboard,aabdor
abode,abdeo
abolish,abhilos
abolition,abiilnoot
abolitionary,aabiilnoorty
abolitionism,abiiilmnoost
abolitionist,abiiilnoostt
abominable,aabbeilmno
abominate,aabeimnot
abomination,aabiimnnoot
abominator,aabimnoort
aboriginal,aabgiilnor
aborigine,abegiinor
aborning,abginnor
abort,abort
abortion,abinoort
abortional,aabilnoort
abortionist,abiinoorstt
abortive,abeiortv
abound,abdnou
aboveboard,aabbdeoorv
abovementioned,abdeeeimnnootv
abracadabra,aaaaabbcdrr
abrade,aabder
abrasion,aabinors
abrasive,aabeirsv
abreast,aaberst
abridge,abdegir
abridgement,abdeegimnrt
abridgment,abdegimnrt
abrogate,aabegort
abrogation,aabginoort
abrupt,abprtu
abruptly,ablprtuy
abscess,abcesss
abscise,abceiss
abscissa,aabcisss
abscission,abciinosss
abscond,abcdnos
absentee,abeeenst
absenteeism,abeeeimnsst
absently,abelnsty
absentminded,abddeeimnnst
absinth,abhinst
absinthe,abehinst
absolutely,abellostuy
absolution,abilnoostu
absolutism,abilmosstu
absolve,abelosv
absorb,abbors
absorbedly,abbdelorsy
absorbent,abbenorst
absorbing,abbginors
absorption,abinooprst
abstain,aabinst
abstainer,aabeinrst
abstemious,abeimosstu
abstention,abeinnostt
abstinence,abceeinnst
abstinent,abeinnstt
abstract,aabcrstt
abstracted,aabcderstt
abstraction,aabcinorstt
abstruse,abersstu
absurd,abdrsu
absurdity,abdirstuy
abundance,aabcdennu
abundant,aabdnntu
abundantly,aabdlnntuy
abuse,abesu
abusive,abeisuv
abut,abtu
abutment,abemnttu
abuttal,aablttu
abysmal,aablmsy
abyss,abssy
abyssal,aablssy
ac,ac
acacia,aaacci
academe,aacdeem
academia,aaacdeim
academic,aaccdeim
academical,aaaccdeilm
academician,aaaccdeiimn
academicism,aaccdeiimms
academism,aacdeimms
academy,aacdemy
acanthus,aachnstu
accede,accdee
accelerando,aaccdeelnor
accelerate,aacceeelrt
acceleration,aacceeilnort
accelerator,aacceelorrt
accelerometer,acceeeelmorrt
accent,accent
accentuate,aacceenttu
accentuation,aacceinnottu
acceptability,aabcceiilptty
acceptable,aabcceelpt
acceptance,aaccceenpt
acceptation,aacceinoptt
accepted,accdeept
accepter,acceeprt
acceptor,acceoprt
access,access
accessibility,abcceiiilssty
accessible,abcceeilss
accession,acceinoss
accessory,acceorssy
accidence,acccdeein
accidental,aaccdeilnt
accidentally,aaccdeillnty
acclaim,aaccilm
acclamation,aaaccilmnot
acclimate,aacceilmt
acclimation,aacciilmnot
acclimatization,aaacciiilmnottz
acclimatize,aacceiilmtz
acclivity,acciiltvy
accolade,aaccdelo
accommodate,aaccdemmoot
accommodating,aaccdgimmnoot
accommodation,aaccdimmnooot
accompaniment,aacceimmnnopt
accompanist,aaccimnopst
accompany,aaccmnopy
accomplice,accceilmop
accomplish,acchilmops
accomplished,accdehilmops
accomplisher,accehilmoprs
accomplishment,accehilmmnopst
accordance,aacccdenor
accordant,aaccdnort
according,accdginor
accordingly,accdgilnory
accordion,accdinoor
accordionist,accdiinoorst
accost,accost
accountable,aabccelnotu
accountancy,aacccnnotuy
accountant,aaccnnottu
accounting,accginnotu
accouter,acceortu
accouterments,acceemnorsttu
accoutre,acceortu
accoutrements,acceemnorsttu
accredit,accdeirt
accredited,accddeeirt
accretion,acceinort
accrue,acceru
acculturation,aaccilnorttuu
accumulate,aaccelmtuu
accumulation,aaccilmnotuu
accumulative,aacceilmtuuv
accumulator,aacclmortuu
accuracy,aacccruy
accurate,aaccertu
accurately,aaccelrtuy
accursed,accdersu
accurst,accrstu
accusation,aaccinostu
accusative,aacceistuv
accused,accdesu
accuser,accersu
accustomed,accdemostu
ace,ace
acerb,abcer
acerbate,aabceert
acerbity,abceirty
acetanilide,aacdeeiilnt
acetate,aaceett
acetic,acceit
acetone,aceenot
acetylcholine,acceehillnoty
acetylene,aceeelnty
ache,aceh
achene,aceehn
achievable,aabceehilv
achieve,aceehiv
achievement,aceeehimntv
achoo,achoo
achromatic,aacchimort
acidhead,aacddehi
acidify,acdfiiy
acidity,acdiity
acidosis,acdiioss
acidulate,aacdeiltu
acidulated,aacddeiltu
acidulous,acdilosuu
ackack,aacckk
acknowledge,acdeegklnow
acknowledgement,acdeeegklmnnotw
acknowledger,acdeegklnorw
acknowledgment,acdeegklmnnotw
acme,acem
acne,acen
acolyte,aceloty
aconite,aceinot
acorn,acnor
acoustic,acciostu
acoustics,acciosstu
acquaint,aacinqtu
acquaintance,aaacceinnqtu
acquaintanceship,aaaccehiinnpqstu
acquiesce,acceeiqsu
acquiescence,accceeeinqsu
acquiescent,acceeinqstu
acquirable,aabceilqru
acquire,aceiqru
acquirement,aceeimnqrtu
acquisition,aciiinoqstu
acquisitive,aceiiiqstuv
acquit,aciqtu
acquittal,aacilqttu
acre,acer
acreage,aaceegr
acrid,acdir
acrimonious,aciimnoorsu
acrimony,acimnory
acrobat,aabcort
acrobatic,aabcciort
acrobatics,aabcciorst
acronym,acmnory
acrophobia,aabchioopr
acropolis,acilooprs
acrostic,acciorst
acrylic,accilry
actin,acint
acting,acgint
actinic,acciint
actinium,aciimntu
actionable,aabceilnot
activate,aaceittv
activation,aaciinottv
actively,aceiltvy
activism,aciimstv
activist,aciisttv
activity,aciittvy
actress,acersst
actuality,aacilttuy
actualize,aaceiltuz
actually,aaclltuy
actuarial,aaacilrtu
actuary,aacrtuy
actuate,aacettu
acuity,acituy
acumen,acemnu
acupuncture,accenprtuuu
acute,acetu
ad,ad
adage,aadeg
adagio,aadgio
adamant,aaadmnt
adamantine,aaadeimnnt
adapt,aadpt
adaptability,aaabdiilptty
adaptable,aaabdelpt
adaptation,aaadinoptt
adapter,aadeprt
adaptive,aadeiptv
adaptor,aadoprt
addend,addden
addenda,aaddden
addendum,adddemnu
adder,adder
addict,acddit
addiction,acddiinot
addictive,acddeiitv
additional,aaddiilnot
additionally,aaddiillnoty
additive,addeiitv
addle,addel
addnl,addln
addressee,addeeerss
adduce,acddeu
adenine,adeeinn
adenoidal,aaddeilno
adenoids,addeinos
adept,adept
adequacy,aacdequy
adequate,aadeeqtu
adequately,aadeelqtuy
adhere,adeehr
adherence,acdeeehnr
adherent,adeehnrt
adhesion,adehinos
adhesive,adeehisv
adiabatic,aaabcdiit
adieu,adeiu
adios,adios
adipose,adeiops
adjacent,aacdejnt
adjectival,aacdeijltv
adjective,acdeeijtv
adjoin,adijno
adjoining,adgiijnno
adjourn,adjnoru
adjournment,adejmnnortu
adjudge,addegju
adjudicate,aacddeijtu
adjudication,aacddiijnotu
adjunct,acdjntu
adjunctive,acdeijntuv
adjure,adejru
adjust,adjstu
adjustable,aabdejlstu
adjuster,adejrstu
adjustor,adjorstu
adjutant,aadjnttu
adlib,abdil
adman,aadmn
admass,aadmss
administer,adeiimnrst
administrate,aadeiimnrstt
administration,aadiiimnnorstt
administrative,aadeiiimnrsttv
administrator,aadiimnorrstt
admirable,aabdeilmr
admirably,aabdilmry
admiral,aadilmr
admiralty,aadilmrty
admiration,aadiimnort
admirer,adeimrr
admiring,adgiimnr
admissibility,abdiiiilmssty
admissible,abdeiilmss
admittance,aacdeimntt
admitted,addeimtt
admittedly,addeilmtty
admix,adimx
admixture,adeimrtux
admonish,adhimnos
admonishment,adehimmnnost
admonition,adiimnnoot
admonitory,adimnoorty
ado,ado
adobe,abdeo
adolescence,accdeeelnos
adolescent,acdeelnost
adoption,adinoopt
adoptive,adeioptv
adorable,aabdelor
adoration,aadinoort
adore,adeor
adorer,adeorr
adoring,adginor
adorn,adnor
adornment,ademnnort
adrenal,aadelnr
adrift,adfirt
adroit,adiort
adsorb,abdors
adsorbate,aabdeorst
adsorption,adinooprst
adulate,aadeltu
adulation,aadilnotu
adulator,aadlortu
adulatory,aadlortuy
adult,adltu
adulterant,aadelnrttu
adulterate,aadeelrttu
adulteration,aadeilnorttu
adulterer,adeelrrtu
adulteress,adeelrsstu
adulterous,adelorstuu
adultery,adelrtuy
adulthood,addhlootu
adumbrate,aabdemrtu
adumbration,aabdimnortu
advanced,aacddenv
advancement,aacdeemnntv
advancer,aacdenrv
advantageous,aaadegnostuv
advantageously,aaadeglnostuvy
advent,adentv
adventitious,adeiinosttuv
adventurer,adeenrrtuv
adventuresome,adeeemnorstuv
adventuress,adeenrsstuv
adventurous,adenorstuuv
adverb,abderv
adverbial,aabdeilrv
adversary,aaderrsvy
adversative,aadeeirstvv
adverse,adeersv
adversity,adeirstvy
advert,adertv
advertent,adeenrttv
advertiser,adeeirrstv
advertising,adegiinrstv
advertize,adeeirtvz
advisability,aabdiiilstvy
advisable,aabdeilsv
advised,addeisv
advisement,adeeimnstv
adviser,adeirsv
advisor,adiorsv
advisory,adiorsvy
advocacy,aaccdovy
advocate,aacdeotv
adze,adez
aegis,aegis
aeon,aeno
aerate,aaeert
aeration,aaeinort
aerator,aaeorrt
aerial,aaeilr
aerialist,aaeiilrst
aerie,aeeir
aerobatic,aabceiort
aerobatics,aabceiorst
aerobe,abeeor
aerobic,abceior
aerodrome,adeemoorr
aerodynamic,aacdeimnory
aerodynamics,aacdeimnorsy
aerofoil,aefiloor
aerogram,aaegmorr
aerogramme,aaeegmmorr
aerology,aegloory
aeronaut,aaenortu
aeronautic,aaceinortu
aeronautical,aaaceilnortu
aeronautics,aaceinorstu
aeroplane,aaeelnopr
aerosol,aeloors
aerospace,aaceeoprs
aertex,aeertx
aery,aery
aesthete,aeeehstt
aesthetic,aceehistt
aesthetics,aceehisstt
aestivate,aaeeisttv
aether,aeehrt
aetiology,aegilooty
afar,aafr
affability,aabffiilty
affable,aabeffl
affect,acefft
affectation,aaceffinott
affected,acdeefft
affecting,aceffgint
affection,aceffinot
affectionate,aaceeffinott
affectionately,aaceeffilnotty
afferent,aeeffnrt
affiance,aaceffin
affidavit,aadffiitv
affiliate,aaeffiilt
affiliation,aaffiiilnot
affinity,affiinty
affirm,affimr
affirmation,aaffiimnort
affirmative,aaeffiimrtv
affix,affix
afflatus,aafflstu
afflict,acffilt
affliction,acffiilnot
affluence,aceefflnu
affluent,aefflntu
afforest,aefforst
afforestation,aaeffinoorstt
affray,aaffry
affricate,aaceffirt
affright,affghirt
affront,affnort
aficionado,aacdfiinoo
afield,adefil
afire,aefir
aflame,aaeflm
afloat,aaflot
aflutter,aeflrttu
afoot,afoot
afore,aefor
aforementioned,adeeefimnnoort
aforesaid,aadefiors
aforethought,aefghhoorttu
afoul,aflou
afresh,aefhrs
aft,aft
afterbirth,abefhirrtt
afterburner,abeefnrrrtu
aftercare,aaceefrrt
afterdeck,acdeefkrt
aftereffect,aceeefffrtt
afterglow,aefglortw
afterimage,aaeefgimrt
afterlife,aeeffilrt
aftermath,aaefhmrtt
aftermost,aefmorstt
afternoons,aefnnoorst
afters,aefrst
aftershave,aaeefhrstv
aftertaste,aaeefrsttt
afterthought,aefghhortttu
afterward,aadefrrtw
afterwards,aadefrrstw
agape,aaegp
agar,aagr
agate,aaegt
agave,aaegv
aged,adeg
ageing,aeggin
ageism,aegims
ageless,aeeglss
agenda,aadegn
ageratum,aaegmrtu
agglomerate,aaeegglmort
agglomeration,aaeggilmnoort
agglutinate,aaeggilnttu
agglutination,aaggiilnnottu
agglutinative,aaeggiilnttuv
agglutinin,aggiilnntu
aggrandise,aadegginrs
aggrandize,aadegginrz
aggrandizement,aadeeggimnnrtz
aggrandizer,aadegginrrz
aggravate,aaaeggrtv
aggravating,aaaggginrtv
aggravation,aaagginortv
aggregate,aaeegggrt
aggregation,aaeggginort
aggression,aegginorss
aggressive,aeeggirssv
aggressor,aeggorrss
aggrieve,aeeggirv
aggrieved,adeeggirv
aghast,aaghst
agile,aegil
agility,agiilty
aging,aggin
agitate,aaegitt
agitation,aagiinott
agitator,aagiortt
agleam,aaeglm
aglitter,aegilrtt
aglow,aglow
agnostic,acginost
agnosticism,acgiimnosst
agog,aggo
agogo,aggoo
agonise,aeginos
agonize,aeginoz
agonized,adeginoz
agonizing,aggiinnoz
agony,agnoy
agora,aagor
agoraphobia,aaabghioopr
agoraphobic,aabcghioopr
agrarian,aaaginrr
agreeable,aabeeeglr
agreeably,aabeeglry
agreed,adeegr
agribusiness,abegiinrsssu
agricultural,aacgillrrtuu
agriculturalist,aacgiillrrsttuu
agronomist,agimnoorst
agronomy,agmnoory
aground,adgnoru
ague,aegu
ah,ah
aha,aah
ahchoo,achhoo
ahem,aehm
ahoy,ahoy
aid,adi
aide,adei
ail,ail
ailanthus,aahilnstu
aileron,aeilnor
ailment,aeilmnt
aimless,aeilmss
airbag,aabgir
airbase,aabeirs
airbed,abdeir
airbladder,aabddeilrr
airborne,abeinorr
airbrake,aabeikrr
airbrick,abciikrr
airbrush,abhirrsu
airbus,abirsu
aircraft,aacfirrt
aircraftman,aaacfimnrrt
aircrew,aceirrw
aircushion,achiinorsu
airdrome,adeimorr
airdrop,adioprr
airfield,adefiilr
airflow,afilorw
airfoil,afiilor
airframe,aaefimrr
airfreight,aefghiirrt
airhostess,aehiorssst
airily,aiilry
airing,agiinr
airless,aeilrss
airlift,afiilrt
airline,aeiilnr
airliner,aeiilnrr
airlock,aciklor
airmail,aaiilmr
airman,aaimnr
airmobile,abeiilmor
airport,aioprrt
airshaft,aafhirst
airship,ahiiprs
airsick,aciikrs
airsickness,aceiiknrsss
airspace,aaceiprs
