orig_word,sorted_word
able,abel
account,accnotu
across,acorss
act,act
again,aagin
against,aaginst
air,air
almost,almost
among,agmno
amount,amnotu
angle,aegln
angry,agnry
animal,aailmn
answer,aenrsw
arch,achr
arm,amr
army,amry
art,art
attack,aacktt
attempt,aempttt
attention,aeinnottt
attraction,aacinorttt
awake,aaekw
baby,abby
back,abck
bad,abd
bag,abg
balance,aabceln
ball,abll
band,abdn
base,abes
basket,abekst
bath,abht
because,abceesu
bed,bde
belief,beefil
bell,bell
between,beeentw
bird,bdir
birth,bhirt
bit,bit
bite,beit
bitter,beirtt
black,abckl
blade,abdel
blood,bdloo
blow,blow
blue,belu
board,abdor
boat,abot
body,bdoy
bone,beno
book,bkoo
bottle,belott
box,box
boy,boy
brain,abinr
branch,abchnr
brass,abrss
bread,abder
breath,abehrt
brick,bcikr
bridge,bdegir
bright,bghirt
brother,behorrt
brown,bnorw
brush,bhrsu
burn,bnru
burst,brstu
business,beinsssu
butter,berttu
button,bnottu
cake,acek
camera,aacemr
can,acn
card,acdr
care,acer
carriage,aacegirr
cat,act
cause,acesu
certain,aceinrt
chain,achin
chance,accehn
change,aceghn
cheap,acehp
chest,cehst
chief,cefhi
church,cchhru
circle,cceilr
clean,aceln
clear,acelr
clock,ccklo
cloth,chlot
cloud,cdlou
coal,aclo
coat,acot
cold,cdlo
collar,acllor
comfort,cfmoort
committee,ceeimmott
common,cmmnoo
company,acmnopy
comparison,acimnooprs
competition,ceiimnooptt
complete,ceelmopt
condition,cdiinnoot
conscious,ccinoossu
control,clnoort
cook,ckoo
copy,copy
cotton,cnoott
could,cdlou
country,cnortuy
cover,ceorv
cow,cow
crack,acckr
crime,ceimr
cruel,celru
crush,chrsu
cry,cry
cup,cpu
current,cenrrtu
curtain,acinrtu
curve,ceruv
cut,ctu
damage,aadegm
danger,adegnr
dark,adkr
daughter,adeghrtu
dead,adde
death,adeht
debt,bdet
decision,cdeiinos
deep,deep
degree,deeegr
delicate,acdeeilt
dependent,ddeeennpt
desire,deeirs
destruction,cdeinorsttu
detail,adeilt
different,deeffinrt
direction,cdeiinort
discovery,cdeiorsvy
discussion,cdiinosssu
disease,adeeiss
distance,acdeinst
division,diiinosv
dog,dgo
door,door
doubt,bdotu
down,dnow
dress,derss
drink,diknr
drop,dopr
dry,dry
dust,dstu
ear,aer
early,aelry
earth,aehrt
east,aest
edge,deeg
education,acdeinotu
effect,ceefft
egg,egg
electric,cceeilrt
end,den
engine,eeginn
enough,eghnou
equal,aelqu
even,eenv
event,eentv
ever,eerv
every,eervy
example,aeelmpx
exchange,aceeghnx
existence,ceeeinstx
experience,ceeeeinprx
eye,eey
face,acef
fact,acft
fall,afll
