orig_word,sorted_word
dirty,dirty
disagree,adeegirs
disappear,aadeipprs
disappoint,adiinoppst
disapprove,adeiopprsv
discipline,cdeiiilnps
discover,cdeiorsv
discuss,cdisssu
disgust,dgisstu
dish,dhis
dismiss,diimsss
distant,adinstt
distinguish,dghiiinsstu
distribution,bdiiinorsttu
district,cdiirstt
disturb,bdirstu
dive,deiv
divide,ddeiiv
doctor,cdoort
dollar,adllor
dot,dot
double,bdelou
dozen,denoz
drag,adgr
drain,adinr
draw,adrw
drawer,aderrw
dream,ademr
drive,deirv
driving,dgiinrv
drum,dmru
duck,cdku
due,deu
dull,dllu
during,dginru
duty,dtuy
each,aceh
eager,aeegr
earn,aenr
earnest,aeenrst
ease,aees
eastern,aeenrst
easy,aesy
eat,aet
educate,acdeetu
educator,acdeortu
effective,ceeeffitv
efficiency,cceeffiiny
efficient,ceeffiint
effort,effort
either,eehirt
elastic,aceilst
elder,deelr
elect,ceelt
election,ceeilnot
elephant,aeehlnpt
else,eels
elsewhere,eeeehlrsw
empire,eeimpr
employ,elmopy
empty,empty
encourage,aceegnoru
enemy,eemny
engineer,eeeginnr
enjoy,ejnoy
enter,eenrt
entertain,aeeinnrtt
entire,eeinrt
entrance,aceennrt
envelope,eeelnopv
envy,envy
error,eorrr
escape,aceeps
especially,aceeillpsy
essence,ceeenss
essential,aeeilnsst
evening,eeginnv
everybody,bdeeorvyy
everyone,eeenorvy
everything,eeghinrtvy
everywhere,eeeehrrvwy
evil,eilv
exact,acetx
examine,aeeimnx
excellent,ceeellntx
except,ceeptx
exception,ceeinoptx
excess,ceessx
excessive,ceeeissvx
excite,ceeitx
excuse,ceesux
exercise,ceeeirsx
exist,eistx
expansion,aeinnopsx
expect,ceeptx
expense,eeenpsx
expensive,eeeinpsvx
experiment,eeeimnprtx
expert,eeprtx
explain,aeilnpx
explode,deelopx
explore,eeloprx
explosion,eilnoopsx
explosive,eeilopsvx
express,eeprssx
expression,eeinoprssx
extend,deentx
extension,eeinnostx
extensive,eeeinstvx
extent,eenttx
extra,aertx
extraordinary,aadeinorrrtxy
extreme,eeemrtx
factory,acforty
fade,adef
fail,afil
failure,aefilru
faint,afint
fair,afir
faith,afhit
fame,aefm
familiar,aafiilmr
fan,afn
fancy,acfny
fashion,afhinos
fast,afst
fasten,aefnst
fate,aeft
fault,afltu
feeble,beeefl
feed,deef
feel,eefl
feeling,eefgiln
fellow,efllow
fellowship,efhillopsw
fence,ceefn
fertile,eefilrt
fever,eefrv
few,efw
fiction,cfiinot
figure,efgiru
fill,fill
film,film
find,dfin
fine,efin
finish,fhiins
firm,fimr
fit,fit
fix,fix
fixed,defix
flash,afhls
flesh,efhls
flight,fghilt
float,aflot
flood,dfloo
flow,flow
follow,flloow
fond,dfno
fool,floo
foolish,fhiloos
forbid,bdfior
foreign,efginor
forest,eforst
forget,efgort
forgive,efgiorv
formal,aflmor
former,efmorr
forth,fhort
fortunate,aefnorttu
fortune,efnortu
fowl,flow
freedom,deefmor
freeze,eeefrz
frequency,ceefnqruy
fresh,efhrs
friendly,defilnry
friendship,defhiinprs
frighten,efghinrt
fun,fnu
funeral,aeflnru
funny,fnnuy
fur,fru
furnish,fhinrsu
furniture,efinrrtuu
further,efhrrtu
gain,agin
game,aegm
gap,agp
garage,aaeggr
gas,ags
gate,aegt
gather,aeghrt
gay,agy
generous,eegnorsu
gentle,eeglnt
gentleman,aeeglmnnt
gift,fgit
glory,glory
glove,eglov
goat,agot
god,dgo
golden,deglno
got,got
govern,egnorv
government,eegmnnortv
governor,egnoorrv
grace,acegr
gradual,aadglru
grand,adgnr
grateful,aefglrtu
grave,aegrv
grease,aeegrs
greet,eegrt
grey,egry
grind,dginr
grip,gipr
ground,dgnoru
grow,gorw
guard,adgru
guess,egssu
guest,egstu
guilt,giltu
habit,abhit
had,adh
half,afhl
hall,ahll
hammer,aehmmr
handle,adehln
hang,aghn
hanging,agghinn
happen,aehnpp
hardly,adhlry
harm,ahmr
harmony,ahmnory
harvest,aehrstv
has,ahs
haste,aehst
hatred,adehrt
hay,ahy
heal,aehl
health,aehhlt
healthy,aehhlty
heap,aehp
hear,aehr
hearing,aeghinr
heaven,aeehnv
heavy,aehvy
height,eghhit
her,ehr
hesitate,aeehistt
hide,dehi
highway,aghhiwy
hill,hill
him,him
hire,ehir
his,his
hit,hit
hold,dhlo
holiday,adhiloy
hollow,hlloow
holy,hloy
home,ehmo
honest,ehnost
hook,hkoo
horizon,hinoorz
horn,hnor
host,host
hot,hot
hotel,ehlot
however,eehorvw
human,ahmnu
humble,behlmu
hunger,eghnru
hunt,hntu
hurry,hrruy
hurt,hrtu
husband,abdhnsu
hut,htu
ideal,adeil
idle,deil
imaginary,aagiimnry
imagine,aegiimn
imitation,aiiimnott
immediate,adeeiimmt
immense,eeimmns
importance,aceimnoprt
impossible,beiilmopss
improve,eimoprv
impulse,eilmpsu
inch,chin
include,cdeilnu
indeed,ddeein
influence,ceefilnnu
inform,fimnor
ink,ikn
inquire,eiinqru
inquiry,iinqruy
inside,deiins
instant,ainnstt
instead,adeinst
insult,ilnstu
insure,einrsu
intend,deinnt
intention,eiinnnott
interfere,eeefinrrt
interference,ceeeefinnrrt
international,aaeiilnnnortt
interrupt,einprrttu
into,inot
introduce,cdeinortu
introduction,cdiinnoorttu
invent,einntv
invite,eiintv
is,is
jaw,ajw
jelly,ejlly
jewel,eejlw
joint,ijnot
joke,ejko
joy,joy
juice,ceiju
justice,ceijstu
kettle,eekltt
kill,ikll
king,gikn
kingdom,dgikmno
kitchen,cehiknt
kneel,eekln
knock,ckkno
knot,knot
lack,ackl
ladder,addelr
lady,adly
lake,aekl
lamp,almp
large,aeglr
latter,aelrtt
laughter,aeghlrtu
lawyer,aelrwy
lay,aly
leadership,adeehilprs
lean,aeln
learn,aelnr
learning,aegilnnr
least,aelst
leave,aeelv
lend,deln
length,eghlnt
less,elss
lessen,eelnss
lesson,elnoss
liberty,beilrty
lid,dil
lie,eil
life,efil
likely,eiklly
linen,eilnn
listen,eilnst
literary,aeilrrty
literature,aeeilrrttu
live,eilv
living,giilnv
load,adlo
loan,alno
local,acllo
lodge,deglo
log,glo
lonely,ellnoy
lord,dlor
lose,elos
lot,lot
lovely,ellovy
loyal,alloy
loyalty,allotyy
luck,cklu
lump,lmpu
lunch,chlnu
lung,glnu
machinery,acehimnry
mad,adm
made,adem
mail,ailm
main,aimn
manage,aaegmn
manager,aaegmnr
mankind,adikmnn
manner,aemnnr
manufacture,aacefmnrtuu
many,amny
march,achmr
marriage,aaegimrr
married,adeimrr
marry,amrry
master,aemrst
matter,aemrtt
maybe,abemy
me,em
mean,aemn
meanwhile,aeehilmnw
mechanic,accehimn
mechanism,acehimmns
medicine,cdeeiimn
meet,eemt
meeting,eegimnt
melt,elmt
member,beemmr
membership,beehimmprs
mention,eimnnot
merchant,acehmnrt
mercy,cemry
mere,eemr
message,aeegmss
might,ghimt
mild,dilm
mile,eilm
military,aiilmrty
mill,illm
mineral,aeilmnr
minister,eiimnrst
miserable,abeeilmrs
misery,eimrsy
miss,imss
mist,imst
mistake,aeikmst
mix,imx
mixed,deimx
mixture,eimrtux
model,delmo
moderate,adeemort
modern,demnor
modest,demost
moment,emmnot
monkey,ekmnoy
moral,almor
more,emor
moreover,eemoorrv
most,most
motor,moort
mouse,emosu
mud,dmu
multiply,illmptuy
murder,demrru
muscle,celmsu
musician,aciimnsu
must,mstu
my,my
mystery,emrstyy
native,aeintv
natural,aalnrtu
nature,aenrtu
neat,aent
necessity,ceeinssty
neglect,ceeglnt
neither,eehinrt
nerve,eenrv
nest,enst
network,eknortw
never,eenrv
newspaper,aeenpprsw
next,entx
nice,cein
noble,belno
nobody,bdnooy
none,enno
noon,nnoo
nor,nor
normal,almnor
northern,ehnnorrt
nothing,ghinnot
notice,ceinot
nowhere,eehnorw
numerous,emnorsuu
nurse,enrsu
obey,beoy
object,bcejot
objection,bceijnoot
observation,abeinoorstv
observe,beeorsv
occasion,accinoos
ocean,aceno
officer,ceffior
official,acffiilo
often,efnot
omit,imot
once,ceno
onto,noot
operate,aeeoprt
operator,aeooprrt
opportunity,inoopprttuy
oppose,eoopps
opposition,iinoooppst
